Date,Open,High,Low,Close,Adj Close,Volume
10-Aug-22,167.68,169.34,166.9,169.24,168.96,"70,170,500"
11-Aug-22,170.06,170.99,168.19,168.49,168.21,"57,149,200"
12-Aug-22,169.82,172.17,169.4,172.1,171.81,"68,039,400"
15-Aug-22,171.52,173.39,171.35,173.19,172.9,"54,091,700"
16-Aug-22,172.78,173.71,171.66,173.03,172.74,"56,377,100"
17-Aug-22,172.77,176.15,172.57,174.55,174.26,"79,542,000"
18-Aug-22,173.75,174.9,173.12,174.15,173.86,"62,290,100"
19-Aug-22,173.03,173.74,171.31,171.52,171.24,"70,346,300"
22-Aug-22,169.69,169.86,167.14,167.57,167.29,"69,026,800"
23-Aug-22,167.08,168.71,166.65,167.23,166.95,"54,147,100"
24-Aug-22,167.32,168.11,166.25,167.53,167.25,"53,841,500"
25-Aug-22,168.78,170.14,168.35,170.03,169.75,"51,218,200"
26-Aug-22,170.57,171.05,163.56,163.62,163.35,"78,961,000"
29-Aug-22,161.15,162.9,159.82,161.38,161.11,"73,314,000"
30-Aug-22,162.13,162.56,157.72,158.91,158.65,"77,906,200"
31-Aug-22,160.31,160.58,157.14,157.22,156.96,"87,991,100"
1-Sep-22,156.64,158.42,154.67,157.96,157.7,"74,229,900"
2-Sep-22,159.75,160.36,154.97,155.81,155.55,"76,957,800"
6-Sep-22,156.47,157.09,153.69,154.53,154.27,"73,714,800"
7-Sep-22,154.82,156.67,153.61,155.96,155.7,"87,449,600"
8-Sep-22,154.64,156.36,152.68,154.46,154.2,"84,923,800"
9-Sep-22,155.47,157.82,154.75,157.37,157.11,"68,028,800"
12-Sep-22,159.59,164.26,159.3,163.43,163.16,"104,956,000"
13-Sep-22,159.9,160.54,153.37,153.84,153.59,"122,656,600"
14-Sep-22,154.79,157.1,153.61,155.31,155.05,"87,965,400"
15-Sep-22,154.65,155.24,151.38,152.37,152.12,"90,481,100"
16-Sep-22,151.21,151.35,148.37,150.7,150.45,"162,278,800"
19-Sep-22,149.31,154.56,149.1,154.48,154.22,"81,474,200"
20-Sep-22,153.4,158.08,153.08,156.9,156.64,"107,689,800"
21-Sep-22,157.34,158.74,153.6,153.72,153.47,"101,696,800"
22-Sep-22,152.38,154.47,150.91,152.74,152.49,"86,652,500"
23-Sep-22,151.19,151.47,148.56,150.43,150.18,"96,029,900"
26-Sep-22,149.66,153.77,149.64,150.77,150.52,"93,339,400"
27-Sep-22,152.74,154.72,149.95,151.76,151.51,"84,442,700"
28-Sep-22,147.64,150.64,144.84,149.84,149.59,"146,691,400"
29-Sep-22,146.1,146.72,140.68,142.48,142.24,"128,138,200"
